"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"92","Jasmine Beach-Ferrara","Female","White","","","No","No","North Carolina","5/17/22","Representative","11","32,478","60%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"92"
"93","Alma S. Adams","Female","Black","","","Yes","No","North Carolina","5/17/22","Representative","12","37,984","92%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"93"
"94","Wiley Nickel","Male","White","","","No","No","North Carolina","5/17/22","Representative","13","23,155","52%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"94"
"95","Jeff Jackson","Male","White","","","No","No","North Carolina","5/17/22","Representative","14","34,724","86%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"95"
"96","John Fetterman","Male","White","","","No","No","Pennsylvania","5/17/22","Senator","N/A","753,557","59%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"96"
"97","Ashley Ehasz","Female","White","","","No","No","Pennsylvania","5/17/22","Representative","1","79,546","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"97"
"98","Brendan F. Boyle","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","2","53,825","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"98"
"99","Dwight Evans","Male","Black","","","Yes","No","Pennsylvania","5/17/22","Representative","3","97,709","76%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"99"
"100","Madeleine Dean","Female","White","","","Yes","No","Pennsylvania","5/17/22","Representative","4","96,876","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"100"
"101","Mary Gay Scanlon","Female","White","","","Yes","No","Pennsylvania","5/17/22","Representative","5","79,816","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"101"
"102","Chrissy Houlahan","Female","White","","","Yes","No","Pennsylvania","5/17/22","Representative","6","71,950","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"102"
"103","Susan Wild","Female","White","","","Yes","No","Pennsylvania","5/17/22","Representative","7","63,817","100%","Won","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"103"
"104","Matt Cartwright","Male","White","","","Yes","No","Pennsylvania","5/17/22","Representative","8","68,696","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"104"
"105","Amanda R. Waldman","Female","White","","","No","No","Pennsylvania","5/17/22","Representative","9","41,622","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"105"
"106","Shamaine Daniels","Female","Latino (Venezuelan)","","","No","No","Pennsylvania","5/17/22","Representative","10","32,260","53%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"106"
"107","Bob Hollister","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","11","46,080","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"107"
"108","Summer Lee","Female","Black","","","No","No","Pennsylvania","5/17/22","Representative","12","48,002","42%","Won","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","Yes","Yes ","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"108"
"109","Dan Pastore","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","16","44,262","69%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"109"
"110","Chris Deluzio","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","17","62,389","64%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"110"
"111","Taysha DeVaughan","Female","Native American (Comanche)","","","No","No","Virginia","5/21/22","Representative","9","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"111"
"112","Will Boyd","Male","Black","","","No","No","Alabama","5/24/22","Senator","N/A","107,588","64%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"112"
"113","Phyllis Harvey-Hall","Female","Black","","","No","No","Alabama","5/24/22","Representative","2","16,884","69%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"113"
"114","Lin Veasey","Female","Unknown","","","No","No","Alabama","5/24/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"114"
"115","Rick Neighbors","Male","White","","","No","No","Alabama","5/24/22","Representative","4","4,500","54%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"115"
"116","Kathy Warner-Stanton","Female","Black","","","No","No","Alabama","5/24/22","Representative","5","9,010","57%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"116"
"117","Terrycina Sewell","Female","Black","","","Yes","No","Alabama","5/24/22","Representative","7","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"117"
"118","Natalie James","Female","Black","","","No","No","Arkansas","5/24/22","Senator","N/A","49,722","54%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"118"
"119","Monte Hodges","Male","Black","","","No","No","Arkansas","5/24/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"119"
"120","Quintessa Hathaway","Female","Black","","","No","No","Arkansas","5/24/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"120"
"121","Lauren Mallett-Hays","Female","White","","","No","No","Arkansas","5/24/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"121"
"122","John White","Male","White","","","No","No","Arkansas","5/24/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"122"
"123","Raphael Warnock","Male","Black","","","Yes","No","Georgia","5/24/22","Senator","N/A","702,610","96%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"123"
"124","Wade Herring","Male","White","","","No","No","Georgia","5/24/22","Representative","1","17,118","38%","Made runoff","12880","62%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"124"
"125","Sanford Bishop","Male","Black","","","Yes","No","Georgia","5/24/22","Representative","2","54,991","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"125"
"126","Val Almonord","Male","Black","","","No","No","Georgia","5/24/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"126"
"127","Henry C. ""Hank"" Johnson Jr.","Male","Black","","","Yes","No","Georgia","5/24/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"127"
"128","Nikema Williams","Female","Black","","","Yes","No","Georgia","5/24/22","Representative","5","78,440","86%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"128"
"129","Bob Christian","Male","White","","","No","No","Georgia","5/24/22","Representative","6","18,776","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"129"
"130","Lucy McBath","Female","Black","","","Yes","Yes","Georgia","5/24/22","Representative","7","33,607","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"130"
"131","Darrius Butler","Male","Black","","","No","No","Georgia","5/24/22","Representative","8","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"131"
"132","Michael ""Mike"" Ford","Male","White","","","No","No","Georgia","5/24/22","Representative","9","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"132"
"133","Tabitha Johnson-Green","Female","Black","","","No","No","Georgia","5/24/22","Representative","10","15,821","42%","Made runoff","9070","64%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"133"
"134","Antonio Daza","Male","Latino (Venezuelan)","","","No","No","Georgia","5/24/22","Representative","11","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"134"
"135","Elizabeth ""Liz"" Johnson","Female","Black","","","No","No","Georgia","5/24/22","Representative","12","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"135"
"136","David Scott","Male","Black","","","Yes","No","Georgia","5/24/22","Representative","13","60,544","66%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"136"
"137","Marcus Flowers","Male","Black","","","No","No","Georgia","5/24/22","Representative","14","20,082","75%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"137"
"138","Melanie Ann Stansbury","Female","White","","","Yes","No","New Mexico","6/7/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"138"
"139","Gabriel Vasquez","Male","Latino (Mexican)","","","No","No","New Mexico","6/7/22","Representative","2","24,010","76%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"139"
"140","Teresa Leger Fernandez","Female","Latino","","","Yes","No","New Mexico","6/7/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"140"
"141","Dianne Black","Female","Black","","","No","No","Mississippi","6/7/22","Representative","1","8,268","79%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"141"
"142","Bennie G. Thompson","Male","Black","","","Yes","No","Mississippi","6/7/22","Representative","2","49,907","96%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"142"
"143","Shuwaski A. Young","Male","Black","","","No","No","Mississippi","6/7/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"143"
"144","Johnny L. DuPree ","Male","Black","","","No","No","Mississippi","6/7/22","Representative","4","9,952","85%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"144"
"145","Monica Tranel","Female","White","","","No","No","Montana","6/7/22","Representative","1","37,138","65%","Won","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"145"
"146","Penny Ronning","Female","White","","","No","No","Montana","6/7/22","Representative","2","21,983","58%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"146"
"147","Michael Franken","Male","White","","","No","No","Iowa","6/7/22","Senator","N/A","86,527","55%","Won","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"147"
"148","Christina Bohannan","Female","White","","","No","No","Iowa","6/7/22","Representative","1","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"148"
"149","Liz Mathis","Female","White","","","No","No","Iowa","6/7/22","Representative","2","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"149"
"150","Cindy Axne","Female","White","","","Yes","No","Iowa","6/7/22","Representative","3","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"150"
"151","Ryan Melton","Male","White","","","No","No","Iowa","6/7/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"151"
"152","Brian L. Bengs","Male","White","","","No","No","South Dakota","6/7/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"152"
"153","Donald W. Norcross","Male","White","","","Yes","No","New Jersey","6/7/22","Representative","1","44,985","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"153"
"154","Tim Alexander","Male","Black","","","No","No","New Jersey","6/7/22","Representative","2","17,199","62%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"154"
"155","Andy Kim","Male","Asian (Korean)","","","Yes","No","New Jersey","6/7/22","Representative","3","39,433","93%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"155"
"156","Matthew Jenkins","Male","White","","","No","No","New Jersey","6/7/22","Representative","4","20,655","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"156"
"157","Josh Gottheimer","Male","White","","","Yes","No","New Jersey","6/7/22","Representative","5","31,142","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"157"
"158","Frank Pallone Jr.","Male","White","","","Yes","No","New Jersey","6/7/22","Representative","6","30,534","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"158"
"159","Tom Malinowski","Male","White (Polish)","","","Yes","No","New Jersey","6/7/22","Representative","7","37,304","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"159"
"160","Robert J. Menendez","Male","Latino (Cuban)","","","No","No","New Jersey","6/7/22","Representative","8","26,490","83%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"160"
"161","Bill Pascrell Jr.","Male","White","","","Yes","No","New Jersey","6/7/22","Representative","9","19,524","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"161"
"162","Donald M. Payne Jr.","Male","Black","","","Yes","No","New Jersey","6/7/22","Representative","10","29,680","83%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"162"
"163","Mikie Sherrill","Female","White","","","Yes","No","New Jersey","6/7/22","Representative","11","37,948","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"163"
"164","Bonnie Watson Coleman","Female","Black","","","Yes","No","New Jersey","6/7/22","Representative","12","37,440","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"164"
"165","Alex Padilla","Male","Latino (Mexican)","","","Yes","No","California","6/7/22","Senator","N/A","3,725,544","91%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"165"
"166","Max Steiner","Male","White","","","No","No","California","6/7/22","Representative","1","55,549","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"166"
"167","Jared Huffman","Male","White","","","Yes","No","California","6/7/22","Representative","2","145,245","91%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"167"
"168","Kermit Jones","Male","Black","","","No","No","California","6/7/22","Representative","3","91,217","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"168"
"169","Mike Thompson","Male","White","","","Yes","No","California","6/7/22","Representative","4","115,041","93%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"169"
"170","Michael J. ""Mike"" Barkley","Male","White","","","No","No","California","6/7/22","Representative","5","64,285","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"170"
"171","Ami Bera","Male","Asian (Indian)","","","Yes","No","California","6/7/22","Representative","6","76,317","91%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"171"
"172","Doris Matsui","Female","Asian (Japanese)","","","Yes","No","California","6/7/22","Representative","7","94,896","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"172"
"173","John Garamendi","Male","White","","","Yes","No","California","6/7/22","Representative","8","72,333","80%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"173"
"174","Josh Harder","Male","White","","","Yes","No","California","6/7/22","Representative","9","39,026","73%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"174"
"175","Mark DeSaulnier","Male","White","","","Yes","No","California","6/7/22","Representative","10","124,787","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"175"
"176","Nancy Pelosi","Female","White","","","Yes","No","California","6/7/22","Representative","11","133,798","84%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"176"
"177","Barbara Lee","Female","Black","","","Yes","No","California","6/7/22","Representative","12","135,892","97%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"177"
"178","Adam Gray","Male","White","","","No","No","California","6/7/22","Representative","13","23,784","64%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"178"
"179","Eric Swalwell","Male","White","","","Yes","No","California","6/7/22","Representative","14","77,120","93%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"179"
"180","David J. Canepa","Male","White","","","No","No","California","6/7/22","Representative","15","34,488","30%","Made runoff","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"180"
"181","Kevin Mullin","Male","White","","","No","No","California","6/7/22","Representative","15","58,806","51%","Made runoff","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"181"
"182","Anna G. Eshoo","Female","Middle Eastern (Armenian)","","","Yes","No","California","6/7/22","Representative","16","81,100","62%","Made runoff","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"182"
"183","Rishi Kumar","Male","Asian (Indian)","","","No","Yes","California","6/7/22","Representative","16","26,438","20%","Made runoff","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"183"
"184","Ro Khanna","Male","Asian (Indian)","","","Yes","No","California","6/7/22","Representative","17","74,892","90%","Won","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"184"
"185","Zoe Lofgren","Female","White","","","Yes","No","California","6/7/22","Representative","18","50,104","82%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"185"
"186","Jimmy Panetta","Male","White","","","Yes","No","California","6/7/22","Representative","19","127,545","96%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"186"
"187","Marisa Wood","Female","White","","","No","No","California","6/7/22","Representative","20","33,511","79%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"187"
"188","Jim Costa","Male","White","","","Yes","No","California","6/7/22","Representative","21","33,850","82%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"188"
"189","Rudy Salas","Male","Latino","","","No","No","California","6/7/22","Representative","22","25,337","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"189"
"190","Derek Marshall","Male","White","","","No","No","California","6/7/22","Representative","23","20,776","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"190"
"191","Salud Carbajal","Male","Latino (Mexican)","","","Yes","No","California","6/7/22","Representative","24","111,199","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"191"
