"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"2041","2041","FINK, CHRIS","DEM","H0NY16168","NY","16","FINK","DEM"
"2042","2042","PARKER, CATHERINE F","DEM","H0NY17281","NY","16","PARKER","DEM"
"2043","2043","CASANOVA DOMINGUEZ, MANUEL IGNACIO","DEM","H2NY16073","NY","16","CASANOVA","DEM"
"2044","2044","GASHI, VEDAT","DEM","H2NY16081","NY","16","GASHI","DEM"
"2045","2045","JAFFE, MARK","DEM","H2NY16107","NY","16","JAFFE","DEM"
"2046","2046","ENGEL, ELIOT L.","DEM","H8NY19058","NY","16","ENGEL","DEM"
"2047","2047","FAULKNER, WILLIAM","REP","H2NY16099","NY","16","FAULKNER","GOP"
"2048","2048","FLISSER, MIRIAM","REP","H2NY16115","NY","16","FLISSER","GOP"
"2049","2049","CARLUCCI, DAVID","DEM","H0NY17224","NY","17","CARLUCCI","DEM"
"2050","2050","FARKAS, EVELYN","DEM","H0NY17265","NY","17","FARKAS","DEM"
"2051","2051","BIAGGI, ALESSANDRA","DEM","H2NY03196","NY","17","BIAGGI","DEM"
